state_code,county_name
FL,Alachua
FL,Baker
FL,Bay
FL,Bradford
FL,Brevard
FL,Calhoun
FL,Charlotte
FL,Citrus
FL,Clay
FL,Collier
FL,Columbia
FL,DeSoto
FL,Dixie
FL,Duval
FL,Flagler
FL,Franklin
FL,Gadsden
FL,Gilchrist
FL,Gulf
FL,Hamilton
FL,Hardee
FL,Hernando
FL,Hillsborough
FL,Jefferson
FL,Lafayette
FL,Lake
FL,Lee
FL,Leon
FL,Levy
FL,Liberty
FL,Madison
FL,Manatee
FL,Marion
FL,Nassau
FL,Orange
FL,Osceola
FL,Pasco
FL,Pinellas
FL,Polk
FL,Putnam
FL,Sarasota
FL,Seminole
FL,St. Johns
FL,Sumter
FL,Suwannee
FL,Taylor
FL,Union
FL,Volusia
FL,Wakulla
GA,Appling
GA,Atkinson
GA,Bacon
GA,Berrien
GA,Brantley
GA,Brooks
GA,Bulloch
GA,Burke
GA,Camden
GA,Candler
GA,Charlton
GA,Clinch
GA,Coffee
GA,Colquitt
GA,Cook
GA,Echols
GA,Emanuel
GA,Glynn
GA,Jeff Davis
GA,Jenkins
GA,Lanier
GA,Lowndes
GA,Montgomery
GA,Pierce
GA,Screven
GA,Tattnall
GA,Thomas
GA,Tift
GA,Toombs
GA,Treutlen
GA,Ware
GA,Wayne
GU,Agana Heights
GU,Agat
GU,Asan
GU,Barrigada
GU,Chalan Pago
GU,Dededo
GU,Hagatna
GU,Inarajan
GU,Maite
GU,Mangilao
GU,Merizo
GU,Ordot
GU,Santa Rita
GU,Sinajana
GU,Talofofo
GU,Tamuning
GU,Yigo
GU,Yona
HI,Hawaii
HI,Maui
MS,Carroll
MS,Humphreys
MS,Monroe
MS,Montgomery
MS,Panola
MS,Sharkey
MS,Washington
